,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
0,Opponent,1,serve,Serve,Flat,77.0,1,0,0,service_box,deuce,near,2.966159,5.947461,no_mans_land,deuce,far,-1.615303,24.51366,2.726496,out wide,In,False,14:12:34,363.980011,1,,,,,,,,,,,
1,Player,2,return,Forehand,Topspin,85.0,1,0,0,no_mans_land,deuce,far,-0.148889,20.331528,out,deuce_alley,near,4.312782,-0.572254,0.942273,down the line,In,False,14:12:36,365.23999,1,,,,,,,,,,,
2,Opponent,3,serve_plus_one,Forehand,Topspin,57.0,1,0,0,out,ad,near,-1.329402,-0.218572,no_mans_land,deuce,far,-0.588359,24.762449,1.248856,down the line,Out,False,14:12:37,366.359985,1,,,,,,,,,,,
3,Opponent,1,serve,Serve,Flat,137.0,2,0,0,service_box,ad,near,-2.341036,5.747269,no_mans_land,ad,far,1.005584,24.331457,2.501394,out wide,In,False,14:12:56,385.579987,0,,,,,,,,,,,
4,Player,2,return,Forehand,Topspin,78.0,2,0,0,service_box,ad,far,1.105323,15.651709,out,ad,near,-2.920594,-1.357419,1.018629,inside out,In,False,14:12:57,386.440002,0,,,,,,,,,,,
5,Opponent,3,serve_plus_one,Forehand,Topspin,83.0,2,0,0,service_box,ad,near,-3.374869,5.600918,out,ad,far,0.095204,25.226908,0.895556,inside out,In,False,14:12:58,387.600006,0,,,,,,,,,,,
6,Player,4,return_plus_one,Backhand,Flat,83.0,2,0,0,no_mans_land,ad,far,2.759445,19.013237,no_mans_land,ad,near,-3.373682,0.007187,0.468227,cross court,In,False,14:13:00,389.179993,0,,,,,,,,,,,
7,Opponent,5,in_play,Backhand,Topspin,95.0,2,0,0,no_mans_land,ad,near,-2.369689,3.352886,no_mans_land,ad,far,3.842895,24.842371,0.994078,cross court,In,False,14:13:01,390.519989,0,,,,,,,,,,,
8,Player,6,in_play,Backhand,Flat,104.0,2,0,0,no_mans_land,deuce,far,-1.805177,19.262821,out,ad,near,-3.324215,-1.562806,0.708115,down the line,In,False,14:13:02,391.820007,0,,,,,,,,,,,
9,Opponent,7,in_play,Forehand,Flat,85.0,2,0,0,no_mans_land,ad,near,-1.181811,3.402981,out,deuce,far,-1.537701,25.916231,0.836576,down the line,In,False,14:13:04,393.100006,0,,,,,,,,,,,
10,Player,8,in_play,Forehand,Topspin,84.0,2,0,0,no_mans_land,deuce,far,-2.821651,20.553978,no_mans_land,ad,near,-1.104359,0.331922,1.025563,inside in,In,False,14:13:05,394.399994,0,,,,,,,,,,,
11,Opponent,9,in_play,Forehand,Topspin,79.0,2,0,0,no_mans_land,deuce,near,1.345194,2.544085,out,deuce,far,-2.5664,25.628424,0.913594,cross court,In,False,14:13:06,395.679993,0,,,,,,,,,,,
12,Player,10,in_play,Forehand,Topspin,66.0,2,0,0,no_mans_land,ad,far,2.54252,21.022182,out,deuce,near,1.600364,-0.669699,0.96827,down the line,In,False,14:13:08,397.040009,0,,,,,,,,,,,
13,Opponent,11,in_play,Backhand,Topspin,85.0,2,0,0,service_box,ad,near,-2.800337,5.721681,out,ad,far,1.937663,26.962122,0.937296,cross court,In,False,14:13:10,399.040009,0,,,,,,,,,,,
14,Player,12,in_play,Backhand,Flat,107.0,2,0,0,no_mans_land,ad,far,2.827725,20.046745,no_mans_land,ad,near,-3.309458,0.77878,0.683273,cross court,In,False,14:13:11,400.480011,0,,,,,,,,,,,
15,Opponent,13,in_play,Backhand,Topspin,94.0,2,0,0,no_mans_land,ad,near,-3.094116,1.413532,out,ad,far,3.542171,25.552792,0.929179,cross court,In,False,14:13:12,401.579987,0,,,,,,,,,,,
16,Player,14,in_play,Backhand,Flat,77.0,2,0,0,no_mans_land,ad,far,1.761607,19.308796,out,ad,near,-3.197077,-0.837346,0.702403,cross court,In,False,14:13:13,402.880005,0,,,,,,,,,,,
17,Opponent,15,in_play,Backhand,Flat,72.0,2,0,0,service_box,ad,near,-3.549539,7.993216,out,ad,far,2.409421,25.339577,0.938918,cross court,In,False,14:13:15,404.220001,0,,,,,,,,,,,
18,Player,16,in_play,Backhand,Flat,108.0,2,0,0,out,deuce,far,-2.898669,24.9224,no_mans_land,ad_alley,near,-5.070107,1.025675,0.608925,down the line,Out,False,14:13:16,405.779999,0,,,,,,,,,,,
19,Opponent,1,serve,Serve,Flat,127.0,3,0,0,service_box,deuce,near,0.741302,5.747269,no_mans_land,deuce,far,-0.995708,24.217907,2.789718,down the T,In,False,14:13:48,437.480011,0,,,,,,,,,,,
20,Player,2,return,Backhand,Topspin,87.0,3,0,0,out,ad,far,1.76,23.23,out,deuce,near,1.23,-0.6,0.835431,inside in,In,False,14:13:49,438.23999,0,Out,1.758529,25.757765,1.231352,-0.601228,In,1.76,23.23,1.23,-0.6,
21,Opponent,3,serve_plus_one,Backhand,Topspin,92.0,3,0,0,no_mans_land,ad,near,-3.949326,2.056676,out,ad,far,1.439641,26.601557,1.315852,cross court,In,False,14:13:50,439.679993,0,,,,,,,,,,,
22,Player,4,return_plus_one,Backhand,Flat,84.0,3,0,0,no_mans_land,ad,far,2.044144,18.815838,no_mans_land,ad_alley,near,-4.462395,-0.338862,0.968839,down the line,In,False,14:13:52,441.179993,0,,,,,,,,,,,
23,Opponent,5,in_play,Backhand,Flat,91.0,3,0,0,service_box,ad,near,-2.837896,7.774154,out,ad,far,3.243086,25.228216,1.121269,cross court,In,False,14:13:53,442.540009,0,,,,,,,,,,,
24,Player,6,in_play,Backhand,Flat,80.0,3,0,0,no_mans_land,ad,far,1.382795,19.117033,no_mans_land,ad_alley,near,-4.563952,-0.492422,0.601841,down the line,In,False,14:13:54,443.920013,0,,,,,,,,,,,
25,Opponent,7,in_play,Backhand,Topspin,85.0,3,0,0,service_box,ad,near,-3.984653,5.67239,out,ad,far,2.361908,25.440619,0.89141,cross court,In,False,14:13:56,445.380005,0,,,,,,,,,,,
26,Player,8,in_play,Backhand,Flat,66.0,3,0,0,no_mans_land,ad,far,2.159072,20.990206,no_mans_land,ad_alley,near,-4.699796,-0.367348,0.717966,down the line,In,False,14:13:57,446.799988,0,,,,,,,,,,,
27,Opponent,9,in_play,Backhand,Topspin,103.0,3,0,0,no_mans_land,ad,near,-2.274431,3.367123,out,ad,far,2.733985,25.364683,1.539382,cross court,In,False,14:13:59,448.279999,0,,,,,,,,,,,
28,Player,10,in_play,Backhand,Topspin,90.0,3,0,0,service_box,ad,near,-3.309725,11.88,out,ad,near,-3.03885,-1.210654,0.626237,cross court,Net,False,14:14:00,449.440002,0,,,,,,,,,,,
29,Opponent,1,serve,Serve,Flat,103.0,5,0,0,service_box,deuce,far,-0.477627,11.88,no_mans_land,ad,far,0.925638,24.891102,2.495448,down the T,Net,False,14:14:34,483.73999,-2,,,,,,,,,,,
30,Opponent,1,serve,Serve,Flat,105.0,6,0,0,service_box,ad,near,-3.657276,5.90133,service_box,ad,far,-0.256714,23.527176,2.123471,out wide,In,False,14:14:43,492.660004,0,,,,,,,,,,,
31,Player,2,return,Backhand,Flat,96.0,6,0,0,no_mans_land,ad,far,1.951871,20.161917,no_mans_land,ad_alley,near,-4.747057,1.053928,0.917208,down the line,In,False,14:14:44,493.640015,0,,,,,,,,,,,
32,Opponent,3,serve_plus_one,Backhand,Topspin,113.0,6,0,0,no_mans_land,deuce,near,2.203942,2.640409,no_mans_land,ad,far,3.036756,24.337564,1.044377,down the line,In,False,14:14:45,494.779999,0,,,,,,,,,,,
33,Player,0,none,Backhand,Topspin,76.0,7,0,0,no_mans_land,ad,far,1.076047,18.461565,out,ad,near,-0.806733,-1.096738,0.810209,cross court,In,False,14:14:58,507.880005,1,,,,,,,,,,,
34,Opponent,1,serve,Serve,Flat,127.0,8,0,0,no_mans_land,deuce_out,near,3.61,5.98,no_mans_land,deuce,far,-1.23,24.62,2.854586,out wide,In,False,14:15:10,519.640015,1,Out,5.895235,4.944668,-1.23417,24.619308,In,3.61,5.98,-1.23,24.62,
35,Player,2,return,Forehand,Flat,60.0,8,0,0,no_mans_land,ad,far,2.533874,20.533173,no_mans_land,deuce_alley,near,4.747616,1.416279,1.081733,down the line,In,False,14:15:11,520.5,1,,,,,,,,,,,
36,Opponent,3,serve_plus_one,Backhand,Topspin,98.0,8,0,0,service_box,ad,near,-2.878429,7.132905,out,ad,far,1.613915,25.530087,1.278127,cross court,In,False,14:15:13,522.179993,1,,,,,,,,,,,
37,Player,4,return_plus_one,Backhand,Slice,62.0,8,0,0,no_mans_land,ad,far,2.110678,18.856384,no_mans_land,ad_alley,near,-4.156062,0.590188,0.611619,down the line,In,False,14:15:14,523.47998,1,,,,,,,,,,,
38,Opponent,5,in_play,Backhand,Topspin,94.0,8,0,0,no_mans_land,deuce,near,2.889289,2.381018,no_mans_land,ad,far,3.246692,24.541941,0.823919,down the line,In,False,14:15:16,525.119995,1,,,,,,,,,,,
39,Player,6,in_play,Forehand,Flat,53.0,8,0,0,service_box,ad,far,3.512161,15.230746,no_mans_land,deuce,near,3.095551,0.274161,0.674956,down the line,In,False,14:15:17,526.380005,1,,,,,,,,,,,
40,Opponent,7,in_play,BH Volley,Flat,33.0,8,0,0,service_box,deuce,far,-0.889586,11.88,service_box,ad,far,3.512161,16.439535,1.748896,down the line,Net,False,14:15:18,527.580017,1,,,,,,,,,,,
41,Player,0,none,Forehand,Flat,94.0,9,0,0,no_mans_land,ad,far,1.563243,18.845732,no_mans_land,deuce,near,2.033494,0.616588,1.883494,down the line,In,False,14:15:23,532.599976,1,,,,,,,,,,,
42,Opponent,1,serve,Serve,Flat,99.0,10,0,0,service_box,deuce,far,-3.722374,11.88,no_mans_land,ad,far,0.833409,24.567324,2.535242,out wide,Net,False,14:15:51,561.0,-2,,,,,,,,,,,
43,Opponent,1,serve,Serve,Flat,132.0,11,0,0,service_box,ad,near,-0.384278,6.640378,no_mans_land,ad,far,0.662602,24.084791,2.474681,down the T,In,False,14:16:00,569.299988,0,,,,,,,,,,,
44,Player,2,return,Forehand,Flat,62.0,11,0,0,no_mans_land,ad,far,1.375923,19.833183,no_mans_land,ad,near,-0.843067,0.303119,1.119188,inside out,In,False,14:16:01,570.080017,0,,,,,,,,,,,
45,Opponent,3,serve_plus_one,Forehand,Topspin,112.0,11,0,0,service_box,deuce,near,2.22747,6.720218,out,ad,far,1.559921,25.164148,1.337765,inside in,In,False,14:16:02,571.940002,0,,,,,,,,,,,
46,Player,4,return_plus_one,Forehand,Flat,54.0,11,0,0,no_mans_land,ad,far,1.282762,19.179432,no_mans_land,deuce,near,2.729427,0.30971,0.411754,down the line,In,False,14:16:04,573.099976,0,,,,,,,,,,,
47,Opponent,5,in_play,Forehand,Topspin,108.0,11,0,0,no_mans_land,ad,near,-3.688359,3.528723,no_mans_land,ad,far,0.398897,24.474955,1.227811,inside out,In,False,14:16:06,575.099976,0,,,,,,,,,,,
48,Player,6,in_play,Backhand,Slice,67.0,11,0,0,service_box,deuce,far,-3.39902,17.82621,out,ad_alley,near,-4.838694,-0.852107,0.563128,down the line,In,False,14:16:07,576.380005,0,,,,,,,,,,,
49,Opponent,7,in_play,FH Volley,Flat,31.0,11,0,0,no_mans_land,deuce,near,1.092733,3.32426,service_box,deuce,far,-3.39902,19.034998,0.555112,cross court,In,False,14:16:08,577.47998,0,,,,,,,,,,,
50,Opponent,0,none,Forehand,Topspin,58.0,12,0,0,service_box,ad,far,1.277967,17.18638,out,ad,near,-0.189036,-1.437834,2.310833,inside out,In,False,14:16:22,591.47998,1,,,,,,,,,,,cancelled
51,Player,0,none,Backhand,Topspin,92.0,12,0,0,service_box,deuce,near,1.428342,5.814259,service_box,ad,far,1.277967,18.395168,1.046332,down the line,In,False,14:16:24,593.280029,1,,,,,,,,,,,cancelled
52,Player,0,none,Forehand,Topspin,71.0,13,0,0,service_box,deuce,near,0.716434,10.740138,no_mans_land,ad,near,-0.933502,3.92199,1.905041,inside in,Net,False,14:16:37,606.380005,0,,,,,,,,,,,
53,Player,1,serve,Serve,Flat,112.0,16,0,0,no_mans_land,deuce,near,2.64,5.98,no_mans_land,deuce,far,-1.37,24.81,2.809094,out wide,In,False,14:17:20,649.179993,0,In,2.64,5.98,-1.37,24.81,In,2.64,5.98,-1.37,24.81,swapped srv
54,Opponent,2,return,Forehand,Topspin,73.0,16,0,0,service_box,deuce,far,-1.03865,17.601685,out,deuce,near,3.826242,-1.724485,1.185175,cross court,In,False,14:17:21,650.23999,0,,,,,,,,,,,swapped srv
55,Player,3,serve_plus_one,Forehand,Topspin,108.0,16,0,0,no_mans_land,ad,near,-2.65,-0.5,out,deuce,far,-2.23,25.15,0.936886,down the line,Out,False,14:17:22,651.780029,0,In,-2.65191,1.340353,-2.23261,25.151228,Out,-2.65,-0.5,-2.23,25.15,swapped srv
56,Player,1,serve,Serve,Flat,153.0,17,0,0,service_box,ad,near,-4.5,5.0,no_mans_land,ad,far,1.06,24.69,2.562605,down the T,Out,False,14:17:47,676.539978,-1,In,-0.620502,5.989731,1.059523,24.688395,Out,-4.5,5.0,1.06,24.69,swapped srv
57,Opponent,0,none,Backhand,Topspin,74.0,18,0,0,no_mans_land,ad,far,0.873718,22.716496,no_mans_land,ad_alley,near,-5.190461,0.036293,0.983492,down the line,In,False,14:17:48,677.580017,0,,,,,,,,,,,
58,Player,1,serve,Serve,Flat,130.0,19,0,0,service_box,ad,near,-2.93721,6.458731,no_mans_land,ad,far,0.873718,23.925283,2.503575,out wide,In,False,14:17:59,688.380005,1,,,,,,,,,,,swapped srv
59,Opponent,2,return,Backhand,Topspin,82.0,19,0,0,no_mans_land,ad,far,1.884171,19.275223,out,ad_alley,near,-5.25172,-0.848404,0.716904,down the line,In,False,14:18:00,689.640015,1,,,,,,,,,,,swapped srv
60,Player,3,serve_plus_one,Forehand,Topspin,94.0,19,0,0,no_mans_land,ad,near,-1.505465,3.283169,no_mans_land,ad,far,2.581723,24.938379,1.08991,inside out,In,False,14:18:01,691.0,1,,,,,,,,,,,swapped srv
61,Opponent,4,return_plus_one,Backhand,Flat,87.0,19,0,0,no_mans_land,ad,far,1.201629,18.349611,out,ad,near,-3.243313,-2.071249,0.498022,cross court,In,False,14:18:03,692.460022,1,,,,,,,,,,,swapped srv
62,Player,5,in_play,Forehand,Topspin,106.0,19,0,0,no_mans_land,ad,near,-2.259898,2.09695,no_mans_land,ad,far,2.259266,24.929642,0.987866,inside out,In,False,14:18:04,693.780029,1,,,,,,,,,,,swapped srv
63,Opponent,6,in_play,Backhand,Topspin,79.0,19,0,0,service_box,ad,far,2.650079,15.346875,out,ad,near,-3.060396,-1.32026,0.648411,cross court,In,False,14:18:05,694.97998,1,,,,,,,,,,,swapped srv
64,Player,7,in_play,Backhand,Topspin,95.0,19,0,0,no_mans_land,ad,near,-3.561853,2.550099,no_mans_land,ad,far,4.042832,24.685637,0.828436,cross court,In,False,14:18:07,696.380005,1,,,,,,,,,,,swapped srv
65,Opponent,8,in_play,Backhand,Topspin,83.0,19,0,0,service_box,deuce,near,1.090333,11.88,out,ad_alley,near,-4.405187,-1.431038,0.681982,down the line,Net,False,14:18:08,697.640015,1,,,,,,,,,,,swapped srv
66,Player,1,serve,Serve,Flat,108.0,20,0,0,service_box,ad,far,2.178534,11.88,service_box,deuce,far,0.081401,23.206293,2.223195,out wide,Net,False,14:18:37,726.900024,-1,,,,,,,,,,,swapped srv
67,Player,1,serve,Serve,Slice,106.0,21,0,0,no_mans_land,deuce,near,0.55,5.98,no_mans_land,deuce,far,-1.41,24.33,2.780668,down the T,In,False,14:18:51,740.119995,0,Out,0.548018,4.47916,-1.41075,24.331831,In,0.55,5.98,-1.41,24.33,swapped srv
