,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Score_index_before,Pt_P1_before,Pt_P2_before,Gm_P1_before,Gm_P2_before,Set_P1_before,Set_P2_before,first_serve,P1_serving,game_type,Score_index_after,Pt_P1_after,Pt_P2_after,Gm_P1_after,Gm_P2_after,Set_P1_after,Set_P2_after,ResultOld,Bounce (x)Old,Bounce (y)Old,ShotOld,Result2,comment,Hit (x)Old,Hit (y)Old,W_UE,rally_length,rally_length_custom,BP,srv_from,srv_to,shot_from,shot_to,desc1,desc2,desc3,desc4,desc5,P_FH-Line,P_FH-Line_W_UE,P_FH-Middle,P_FH-Middle_W_UE,P_FH-Cross,P_FH-Cross_W_UE,P_FH-II,P_FH-II_W_UE,P_FH-IO,P_FH-IO_W_UE,P_FH-IM,P_FH-IM_W_UE,P_FH-D,P_FH-D_W_UE,P_FH-Cross-Pass,P_FH-Cross-Pass_W_UE,P_FH-Middle-Pass,P_FH-Middle-Pass_W_UE,P_FH-Line-Pass,P_FH-Line-Pass_W_UE,P_BH-Line,P_BH-Line_W_UE,P_BH-Middle,P_BH-Middle_W_UE,P_BH-Cross,P_BH-Cross_W_UE,P_BH-Slice,P_BH-Slice_W_UE,P_BH-D,P_BH-D_W_UE,P_BH-Cross-Pass,P_BH-Cross-Pass_W_UE,P_BH-Middle-Pass,P_BH-Middle-Pass_W_UE,P_BH-Line-Pass,P_BH-Line-Pass_W_UE,P_VOL,P_VOL_W_UE,P_SMA,P_SMA_W_UE,O_FH-Line,O_FH-Line_W_UE,O_FH-Middle,O_FH-Middle_W_UE,O_FH-Cross,O_FH-Cross_W_UE,O_FH-II,O_FH-II_W_UE,O_FH-IO,O_FH-IO_W_UE,O_FH-IM,O_FH-IM_W_UE,O_FH-D,O_FH-D_W_UE,O_FH-Cross-Pass,O_FH-Cross-Pass_W_UE,O_FH-Middle-Pass,O_FH-Middle-Pass_W_UE,O_FH-Line-Pass,O_FH-Line-Pass_W_UE,O_BH-Line,O_BH-Line_W_UE,O_BH-Middle,O_BH-Middle_W_UE,O_BH-Cross,O_BH-Cross_W_UE,O_BH-Slice,O_BH-Slice_W_UE,O_BH-D,O_BH-D_W_UE,O_BH-Cross-Pass,O_BH-Cross-Pass_W_UE,O_BH-Middle-Pass,O_BH-Middle-Pass_W_UE,O_BH-Line-Pass,O_BH-Line-Pass_W_UE,O_VOL,O_VOL_W_UE,O_SMA,O_SMA_W_UE
0,Opponent,1,first_serve,Serve,Flat,168.756546,1,0.0,0.0,service_box,deuce,near,3.866666667,6.07,no_mans_land,deuce,far,-0.886088,24.152262,2.818959,out wide,In,False,14:49:32,339.980011,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,2.825255,5.97744,,,,,,W,3.0,1.0,False,deuce,wide,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,W_or_F,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
1,Player,2,return,Forehand,Flat,64.914246,1,0.0,0.0,service_box,ad,far,1.0,13.97,no_mans_land,deuce_alley,near,4.966949,2.257979,0.965214,down the line,In,False,14:49:33,340.73999,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.973752,12.186514,,,,,,,3.0,1.0,False,deuce,wide,deuce,middle,FH,Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Opponent,3,serve_plus_one,Forehand,Flat,51.647564,1,0.0,0.0,service_box,ad,near,-2.963973,7.571275,no_mans_land,deuce,far,-0.419059,19.67885,0.965992,down the line,In,False,14:49:35,342.880005,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,False,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,W,3.0,1.0,False,deuce,wide,deuce,ad,FH,Line,,APP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Opponent,1,first_serve,Serve,Flat,163.426971,2,0.0,0.0,no_mans_land,ad,near,-0.178073,5.98,no_mans_land,ad,far,0.698731,24.618017,2.645606,down the T,In,False,14:50:06,374.140015,2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,True,False,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,Out,-0.178073,4.83629,,,,,,W,1.0,1.0,False,ad,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
4,Opponent,1,first_serve,Serve,Flat,166.690445,3,0.0,0.0,service_box,deuce,near,3.966666667,3.37,no_mans_land,deuce,far,-0.627753,23.504881,2.494503,out wide,Out,False,14:50:29,397.179993,-2,2.0,0.0,2.0,0.0,0.0,0.0,0.0,True,False,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,In,4.61,8.58685,,,,,,,-1.0,-1.0,False,deuce,wide,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
5,Player,0,return,Backhand,Topspin,80.674667,4,0.0,0.0,out,ad,far,0.927731,25.694525,no_mans_land,deuce,near,0.947013,0.324073,0.791081,inside in,Out,False,14:50:45,412.579987,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,False,False,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,,,,2.0,,,,,,1.0,1.0,False,deuce,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Opponent,1,first_serve,Serve,Flat,154.900131,4,0.0,0.0,service_box,deuce,near,0.633333333,4.47,no_mans_land,deuce,far,-0.877154,24.816744,2.720499,down the T,Out,False,14:50:44,411.839996,1,2.0,0.0,2.0,0.0,0.0,0.0,0.0,False,False,1.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,In,-0.5,6.118918,,,,,,UE,1.0,1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
7,Opponent,1,first_serve,Serve,Flat,173.759552,5,0.0,0.0,service_box,ad,near,-0.371291,6.874486,out,ad,far,0.643002,25.013121,2.492819,down the T,In,False,14:51:13,441.299988,2,3.0,1.0,2.0,0.0,0.0,0.0,0.0,True,False,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,ad,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
8,Player,2,return,Forehand,Flat,70.223671,5,0.0,0.0,no_mans_land,ad,far,2.0,25.0,no_mans_land,ad,near,-0.586969,0.094582,1.061747,inside out,Out,False,14:51:14,442.0,2,3.0,1.0,2.0,0.0,0.0,0.0,0.0,True,False,1.0,4.0,1.0,3.0,0.0,0.0,0.0,0.0,In,2.0,24.0,,,,,,FE,2.0,1.0,False,ad,T,ad,ad,FH,IO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Opponent,1,first_serve,Serve,Flat,184.998734,6,0.0,0.0,service_box,deuce,near,0.646735,6.239552,no_mans_land,deuce,far,-0.989766,24.459646,2.773468,down the T,In,False,14:51:40,468.420013,2,4.0,1.0,3.0,0.0,0.0,0.0,0.0,True,False,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
10,Player,2,return,Backhand,Flat,53.737411,6,0.0,0.0,service_box,deuce,near,2.167525,10.255536,no_mans_land,deuce,near,0.750436,1.05049,0.779673,inside out,Net,False,14:51:41,469.0,2,4.0,1.0,3.0,0.0,0.0,0.0,0.0,True,False,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,deuce,T,deuce,ad,BH,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Opponent,0,none,Forehand,Flat,100.264984,7,0.0,0.0,no_mans_land,deuce,far,-0.952899,22.474724,no_mans_land,deuce,near,1.318571,1.068122,2.709149,cross court,In,False,14:52:19,507.480011,2,,,,,,,,True,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
