,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Score_index_before,Pt_P1_before,Pt_P2_before,Gm_P1_before,Gm_P2_before,Set_P1_before,Set_P2_before,first_serve,P1_serving,game_type,Score_index_after,Pt_P1_after,Pt_P2_after,Gm_P1_after,Gm_P2_after,Set_P1_after,Set_P2_after,Bounce (x)Old,Bounce (y)Old,ShotOld,ResultOld,Hit (x)Old,Hit (y)Old,comment,Result2,W_UE,rally_length,rally_length_custom,BP,srv_from,srv_to,P_FH-Line,P_FH-Middle,P_FH-Cross,P_FH-II,P_FH-IO,P_FH-IM,P_FH-D,P_FH-Cross-Pass,P_FH-Middle-Pass,P_FH-Line-Pass,P_BH-Line,P_BH-Middle,P_BH-Cross,P_BH-Slice,P_BH-D,P_BH-Cross-Pass,P_BH-Middle-Pass,P_BH-Line-Pass,P_VOL,P_SMA,O_FH-Line,O_FH-Middle,O_FH-Cross,O_FH-II,O_FH-IO,O_FH-IM,O_FH-D,O_FH-Cross-Pass,O_FH-Middle-Pass,O_FH-Line-Pass,O_BH-Line,O_BH-Middle,O_BH-Cross,O_BH-Slice,O_BH-D,O_BH-Cross-Pass,O_BH-Middle-Pass,O_BH-Line-Pass,O_VOL,O_SMA,shot_from,shot_to,desc1,desc2,desc3,desc4,desc5
0,Player,1,serve,Serve,Slice,166.363281,1,0.0,0.0,no_mans_land,ad,far,-0.233333333,19.07,no_mans_land,deuce,near,0.427226,-0.163537,2.460482,down the T,Out,False,21:31:34,359.220001,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.808622,19.472874,,,,,,,,-1.0,-1.0,False,deuce,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
1,Player,1,serve,Serve,Kick,126.269508,2,0.0,0.0,service_box,deuce,far,-1.520172,17.046173,no_mans_land,deuce,near,0.493942,-0.005955,2.466906,down the T,In,False,21:31:43,368.220001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,deuce,body,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
2,Opponent,2,return,Backhand,Flat,70.656006,2,0.0,0.0,no_mans_land,deuce,near,1.034427,2.952538,out,deuce,far,-2.156945,25.244555,1.128846,inside out,In,False,21:31:44,369.019989,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,deuce,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deuce,middle,BH,IM,,,
3,Player,3,serve_plus_one,Forehand,Topspin,104.31604,2,0.0,0.0,no_mans_land,ad,far,0.567359,20.462305,out,deuce,near,1.293801,-1.155847,0.917466,down the line,In,False,21:31:45,370.480011,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,deuce,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deuce,middle,FH,Middle,,,
4,Opponent,4,return_plus_one,Forehand,Topspin,90.118004,2,0.0,0.0,service_box,deuce,far,-0.696198,18.257591,out,ad,far,0.244501,25.430017,0.709334,inside in,Net,False,21:31:46,371.579987,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,UE,4.0,4.0,False,deuce,body,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,ad,FH,Cross,,,
5,Player,1,serve,Serve,Slice,110.567711,3,0.0,0.0,service_box,deuce,near,2.774158,11.563718,no_mans_land,ad,near,-0.976102,0.045014,2.486635,out wide,Net,False,21:32:11,396.619995,-1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,-1.0,-1.0,False,ad,wide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
6,Player,1,serve,Serve,Slice,94.473465,4,0.0,0.0,service_box,ad,far,3.153095,18.288,service_box,ad,near,-0.553492,-0.116076,2.257354,out wide,In,False,21:32:21,406.049988,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,ad,wide,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
7,Opponent,2,return,Backhand,Topspin,78.757332,4,0.0,0.0,out,deuce,near,2.835864,-0.377482,no_mans_land,ad,far,3.95994,24.277647,1.289589,down the line,Out,False,21:32:22,406.880005,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,False,True,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,deuce,BH,Line,,,
8,Player,1,serve,Serve,Slice,143.428314,5,0.0,0.0,service_box,deuce,far,-0.736329,17.802908,no_mans_land,deuce,near,0.452952,0.286336,2.536348,down the T,In,False,21:32:44,429.480011,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,3.0,False,deuce,T,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
9,Opponent,2,return,Backhand,Slice,107.008484,5,0.0,0.0,service_box,ad,near,-0.248745,5.724263,no_mans_land,deuce,far,-1.01006,24.858637,1.148233,inside in,In,False,21:32:45,430.279999,1,2.0,2.0,0.0,0.0,0.0,0.0,0.0,True,True,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,3.0,3.0,False,deuce,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,deuce,middle,BH,Slice,,,
