,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
0,Opponent,1,serve,Serve,Flat,45,1,0,0,service_box,deuce,near,0.673611,6.069643,service_box,deuce,far,0.03474,23.147434,1.782537,down the T,In,False,12:52:11,376.880005,1,,,,,,,,,,,
1,Player,2,return,Backhand,Topspin,71,1,0,0,no_mans_land,deuce,far,-0.563671,20.129652,no_mans_land,deuce,near,0.732187,2.605795,1.18876,inside out,In,False,12:52:13,378.839996,1,,,,,,,,,,,
2,Opponent,3,serve_plus_one,Forehand,Topspin,92,1,0,0,service_box,deuce_alley,near,3.61,5.9,no_mans_land,deuce,far,-0.44,24.3,1.17547,down the line,In,False,12:52:14,380.079987,1,Out,4.918346,5.901061,-0.444902,24.295805,In,3.61,5.9,-0.44,24.3,
3,Player,4,return_plus_one,Forehand,Topspin,86,1,0,0,no_mans_land,deuce,far,-1.725623,18.908596,out,deuce,near,3.332222,-1.157217,0.984504,cross court,In,False,12:52:16,381.380005,1,,,,,,,,,,,
4,Opponent,5,in_play,Forehand,Flat,76,1,0,0,no_mans_land,ad_out,near,-3.61,5.42,no_mans_land,deuce,far,-2.56,24.18,1.050716,down the line,In,False,12:52:17,382.600006,1,Out,-5.699294,5.424789,-2.559764,24.177385,In,-3.61,5.42,-2.56,24.18,
5,Player,6,in_play,Backhand,Topspin,88,1,0,0,service_box,deuce,far,-2.055449,18.07309,out,ad,near,-3.7902,-1.271771,0.566739,down the line,In,False,12:52:18,384.0,1,,,,,,,,,,,
6,Opponent,0,in_play,Backhand,Slice,57,1,0,0,service_box,deuce,far,-2.583506,11.88,service_box,deuce,far,-2.055449,19.281878,1.504562,inside out,Net,False,12:52:19,384.980011,1,,,,,,,,,,,
7,Opponent,1,serve,Serve,Flat,176,2,0,0,service_box,ad,near,-3.56,7.15,no_mans_land,ad,far,0.42,23.18,1.933399,out wide,Let,False,12:52:45,410.440002,-1,In,-3.559114,7.150344,0.41723,23.177294,Let,-3.56,7.15,0.42,23.18,
8,Opponent,1,serve,Serve,Flat,141,3,0,0,service_box,ad,near,-0.111559,5.709128,no_mans_land,ad,far,0.156736,24.281759,2.547004,down the T,In,False,12:53:06,431.700012,0,,,,,,,,,,,
9,Player,0,return,Forehand,Flat,55,3,0,0,service_box,deuce,near,0.570962,11.88,no_mans_land,ad,near,-0.041765,1.364851,0.866928,inside in,Net,False,12:53:07,432.420013,0,,,,,,,,,,,
10,Opponent,1,serve,Serve,Flat,56,4,0,0,service_box,deuce,near,0.566801,6.83622,no_mans_land,deuce,far,-0.482208,23.494743,2.677943,down the T,In,False,12:53:27,453.079987,0,,,,,,,,,,,
11,Player,2,return,Backhand,Flat,76,4,0,0,no_mans_land,deuce,far,-1.823696,20.595491,no_mans_land,deuce,near,0.902255,0.224892,1.043566,inside out,In,False,12:53:29,454.459991,0,,,,,,,,,,,
12,Opponent,3,serve_plus_one,Forehand,Topspin,67,4,0,0,service_box,ad,near,-2.846333,6.908273,out,deuce,far,-2.240715,25.564264,0.947904,down the line,In,False,12:53:30,455.880005,0,,,,,,,,,,,
13,Player,4,return_plus_one,Backhand,Topspin,92,4,0,0,no_mans_land,deuce,far,-1.594855,18.898529,no_mans_land,ad,near,-3.505791,-0.341208,0.671989,down the line,In,False,12:53:32,457.5,0,,,,,,,,,,,
