,Player,Shot,Type,Stroke,Spin,Speed,Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,Bounce (x)2,Bounce (y)2,ResultOld,Bounce (x)old,Bounce (y)old,Bounce (x)Old,Bounce (y)Old,comment
0,Opponent,1,first_serve,Serve,Flat,169,1,0,0,service_box,deuce,near,2.825255,5.97744,no_mans_land,deuce,far,-0.886088,24.152262,2.818959,out wide,In,False,14:49:32,339.980011,0,,,,,,,,,
1,Player,2,return,Forehand,Flat,65,1,0,0,service_box,ad,far,0.973752,12.186514,no_mans_land,deuce_alley,near,4.966949,2.257979,0.965214,down the line,In,False,14:49:33,340.73999,0,,,,,,,,,
2,Opponent,3,serve_plus_one,Forehand,Flat,52,1,0,0,service_box,ad,near,-2.963973,7.571275,no_mans_land,deuce,far,-0.419059,19.67885,0.965992,down the line,In,False,14:49:35,342.880005,0,,,,,,,,,
3,Opponent,1,first_serve,Serve,Flat,163,2,0,0,no_mans_land,ad,near,0.18,4.75,no_mans_land,ad,far,0.698731,24.618017,2.645606,down the T,In,False,14:50:06,374.140015,0,In,0.18,4.75,Out,-0.178073,4.83629,,,
4,Opponent,1,first_serve,Serve,Flat,167,3,0,0,service_box,deuce,near,2.5,4.0,no_mans_land,deuce,far,-0.627753,23.504881,2.494503,out wide,Out,False,14:50:29,397.179993,-2,Out,2.5,4.0,In,2.521081,8.58685,,,
5,Opponent,1,first_serve,Serve,Flat,155,4,0,0,service_box,deuce,near,0.5,5.0,no_mans_land,deuce,far,-0.877154,24.816744,2.720499,down the T,Out,False,14:50:44,411.839996,-2,Out,0.5,5.0,In,0.49725,6.118918,,,
6,Player,0,return,Backhand,Topspin,81,4,0,0,out,ad,far,0.927731,25.694525,no_mans_land,deuce,near,0.947013,0.324073,0.791081,inside in,Out,False,14:50:45,412.579987,-2,Shot=0,0.0,0.0,,,,,,
7,Opponent,1,first_serve,Serve,Flat,174,5,0,0,service_box,ad,near,-0.371291,6.874486,out,ad,far,0.643002,25.013121,2.492819,down the T,In,False,14:51:13,441.299988,0,,,,,,,,,
8,Player,2,return,Forehand,Flat,70,5,0,0,no_mans_land,ad,far,2.0,25.0,no_mans_land,ad,near,-0.586969,0.094582,1.061747,inside out,Out,False,14:51:14,442.0,0,Out,2.0,25.0,In,1.935135,19.78301,,,
9,Opponent,1,first_serve,Serve,Flat,185,6,0,0,service_box,deuce,near,0.646735,6.239552,no_mans_land,deuce,far,-0.989766,24.459646,2.773468,down the T,In,False,14:51:40,468.420013,0,,,,,,,,,
10,Player,2,return,Backhand,Flat,54,6,0,0,service_box,deuce,near,2.167525,10.255536,no_mans_land,deuce,near,0.750436,1.05049,0.779673,inside out,Net,False,14:51:41,469.0,0,,,,,,,,,
11,Player,1,first_serve,Serve,Flat,158,8,0,0,service_box,ad,far,0.409241,12.004766,no_mans_land,deuce,far,-0.952899,23.683512,2.813275,down the T,Net,False,14:52:33,520.780029,-1,,,,,,,,,
12,Player,1,second_serve,Serve,Flat,111,9,0,0,service_box,ad,far,0.974348,18.052719,no_mans_land,deuce,far,-0.656573,23.374027,2.503669,out wide,Net,False,14:52:43,531.299988,0,,,,,,,,,
13,Player,1,first_serve,Serve,Flat,165,11,0,0,service_box,ad,near,-3.252839,6.05654,out,ad,far,1.297257,23.628548,2.358155,out wide,In,False,14:53:04,552.47998,1,,,,,,,,,
14,Opponent,2,return,Backhand,Topspin,70,11,0,0,service_box,ad,far,2.228214,14.940382,out,ad_alley,near,-5.117494,-1.639669,0.830656,down the line,In,False,14:53:05,553.23999,1,,,,,,,,,
15,Player,3,serve_plus_one,Backhand,Topspin,102,11,0,0,no_mans_land,ad,near,-2.349546,3.799723,no_mans_land,ad,far,3.732172,22.508438,0.771569,cross court,In,False,14:53:07,554.679993,1,,,,,,,,,
16,Opponent,4,return_plus_one,Backhand,Flat,100,11,0,0,out,deuce,far,-0.675828,24.9224,out,ad,near,-3.545933,-1.164732,0.482799,down the line,Out,False,14:53:08,555.900024,1,,,,,,,,,
17,Player,1,first_serve,Serve,Flat,173,12,0,0,service_box,deuce,near,0.34,5.3,no_mans_land,ad,far,-1.085465,24.567038,2.741413,down the T,In,False,14:53:27,575.280029,1,In,0.34,5.3,Out,0.340365,5.54817,,,
18,Opponent,2,return,Backhand,Flat,64,12,0,0,no_mans_land,ad,far,1.955907,19.016638,no_mans_land,deuce,near,0.399001,0.437021,0.715979,inside in,In,False,14:53:28,575.940002,1,,,,,,,,,
19,Player,3,serve_plus_one,Backhand,Topspin,87,12,0,0,no_mans_land,ad,near,-0.929534,2.906623,no_mans_land,ad,far,1.848974,24.314959,1.54021,cross court,In,False,14:53:30,577.580017,1,,,,,,,,,
20,Opponent,4,return_plus_one,Backhand,Topspin,87,12,0,0,out,ad,far,2.488385,24.718224,no_mans_land,ad,near,-1.201129,-0.061573,0.624639,cross court,Out,False,14:53:31,578.599976,1,,,,,,,,,
21,Player,0,in_play,Backhand,Topspin,65,12,0,0,out,ad_alley,far,4.524024,23.885014,out,ad,far,2.85035,25.470654,1.139503,down the line,Net,False,14:53:32,579.97998,1,Shot=0,0.34,5.3,,,,,,
22,Player,1,second_serve,Serve,Flat,97,13,0,0,no_mans_land,ad,near,-4.0,5.0,no_mans_land,ad,far,0.921622,24.898832,2.532277,down the T,In,False,14:53:51,598.97998,1,In,-4.0,5.0,Out,-0.868372,3.703265,,,
23,Opponent,2,return,Backhand,Slice,71,13,0,0,service_box,ad,near,-3.596553,11.116925,out,ad_alley,near,-5.261162,-1.335925,0.712799,down the line,Net,False,14:53:52,599.780029,1,,,,,,,,,
24,Player,1,first_serve,Serve,Flat,127,14,0,0,service_box,deuce,near,0.39341,7.666259,no_mans_land,deuce,far,-0.946217,24.184216,2.815043,down the T,In,False,14:54:11,619.440002,1,,,,,,,,,
25,Opponent,2,return,Backhand,Flat,82,14,0,0,service_box,deuce,near,3.119074,11.235517,no_mans_land,deuce,near,0.50089,1.659789,0.765466,inside out,Net,False,14:54:12,620.200012,1,,,,,,,,,
26,Opponent,1,first_serve,Serve,Flat,135,15,0,0,service_box,deuce,far,-1.15,15.7,service_box,deuce,near,0.306446,0.363085,2.418044,down the T,In,False,14:54:55,662.960022,0,In,-1.15,15.7,In,-1.158291,15.688648,1.0,-1.0,
27,Player,2,return,Backhand,Topspin,57,15,0,0,no_mans_land,deuce,near,0.69513,-1.0,out,deuce,far,-1.76459,25.258612,1.154339,inside out,Out,False,14:54:56,663.679993,0,Out,0.69513,-1.0,In,,,0.69513,-1.0,
28,Opponent,1,first_serve,Serve,Flat,132,16,0,0,service_box,ad_alley,far,4.18582,17.559711,no_mans_land,ad,near,-1.163164,0.359299,2.495045,out wide,Out,False,14:55:21,688.679993,-2,,,,,,,,,
29,Player,0,return,Backhand,Topspin,83,16,0,0,no_mans_land,deuce,near,2.948221,0.116022,no_mans_land,ad_alley,far,5.151111,24.454496,1.033801,down the line,In,False,14:55:21,689.47998,-2,Shot=0,1.0,-1.0,,,,,,
30,Opponent,1,second_serve,Serve,Kick,108,17,0,0,service_box,ad,far,2.300191,15.214729,no_mans_land,ad,near,-0.979358,0.867086,2.244475,out wide,In,False,14:55:46,713.780029,1,,,,,,,,,
31,Player,2,return,Backhand,Topspin,88,17,0,0,no_mans_land,deuce,near,0.641744,3.076554,no_mans_land,ad,far,3.946336,24.45862,1.422127,down the line,In,False,14:55:47,714.679993,1,,,,,,,,,
