,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
0,Opponent,1,serve,Serve,Flat,135.0,1,0.0,0.0,service_box,deuce,near,0.765069858,6.42,no_mans_land,deuce,far,-1.08,24.1,2.561971,down the T,In,False,14:38:34,487.679993,0,In,1.049524,6.417988,-1.076265,24.10195,In,0.765069858,6.42,-1.08,24.1,
1,Player,2,return,Backhand,Topspin,117.0,1,0.0,0.0,out,ad_alley,far,6.0,24.98,no_mans_land,deuce,near,1.45,-0.16,0.77616,inside in,Out,False,14:38:34,488.480011,0,Out,0.5,24.98,1.45,-0.16,Out,6.0,24.98,1.45,-0.16,
2,Opponent,1,serve,Serve,Flat,175.0,2,0.0,0.0,no_mans_land,ad,near,-2.5,5.6,no_mans_land,deuce,far,0.5,24.0,0.943198,down the T,In,False,14:38:57,511.380005,0,In,-2.5,5.6,-0.5,24.0,In,-2.5,5.6,0.5,24.0,
3,Player,2,return,Backhand,Slice,50.0,2,0.0,0.0,service_box,deuce,far,-0.053157,16.065332,out,ad,near,-3.684377,-0.923183,0.548687,down the line,In,False,14:38:58,512.140015,0,,,,,,,,,,,
4,Opponent,3,serve_plus_one,Forehand,Topspin,93.0,2,0.0,0.0,no_mans_land,ad,near,-2.63,5.6,no_mans_land,ad,far,0.17,21.08,0.971377,inside out,In,False,14:39:00,514.140015,0,In,-2.625685,5.030611,0.171785,21.076447,In,-2.63,5.6,0.17,21.08,
5,Player,0,none,Backhand,Flat,85.0,3,0.0,0.0,no_mans_land,deuce,far,-0.058216,18.79788,out,ad,near,-2.151492,-2.003824,1.234563,down the line,In,False,14:39:08,522.460022,1,,,,,,,,,,,cancelled
6,Player,0,none,Backhand,Topspin,31.0,3,0.0,0.0,no_mans_land,ad,near,-0.263375,11.88,service_box,ad,near,-0.784938,8.285197,1.36873,cross court,Net,False,14:39:10,524.380005,1,,,,,,,,,,,cancelled
7,Player,0,none,Forehand,Topspin,58.0,3,0.0,0.0,no_mans_land,ad,far,1.076518,18.660934,service_box,deuce,near,0.256034,5.125713,2.319408,down the line,In,False,14:39:16,530.179993,1,,,,,,,,,,,cancelled
8,Player,0,none,Forehand,Flat,100.0,4,0.0,0.0,no_mans_land,ad,far,0.648384,20.622561,service_box,deuce,near,1.128239,8.847772,1.747179,down the line,In,False,14:39:34,548.039978,1,,,,,,,,,,,
9,Opponent,1,serve,Serve,Flat,164.0,5,0.0,0.0,service_box,ad,near,-3.189553311,5.95,no_mans_land,ad,far,0.65,23.36,2.504712,out wide,In,False,14:39:43,557.179993,0,In,-4.065126,5.947461,0.648384,23.364412,In,-3.189553311,5.95,0.65,23.36,
10,Player,2,return,Backhand,Flat,46.0,5,0.0,0.0,service_box,ad,near,-2.514017,11.88,out,ad_alley,near,-4.683934,-0.834191,1.209312,down the line,Net,False,14:39:44,558.02002,0,,,,,,,,,,,
11,Player,1,serve,Serve,Flat,210.0,7,0.0,0.0,service_box,deuce,near,3.69789,5.54817,no_mans_land,deuce,far,-1.592442,24.05895,2.677845,out wide,In,False,14:40:41,614.780029,1,,,,,,,,,,,
12,Player,1,none,Serve,Flat,200.0,9,0.0,0.0,service_box,ad,far,-0.4,6.0,service_box,ad,near,0.1,24.0,2.462388,---,In,False,14:40:53,626.679993,1,In,0.4,6.0,-0.1,24.0,In,-0.4,6.0,0.1,24.0,
13,Opponent,2,none,Forehand,Flat,28.0,9,0.0,0.0,service_box,ad,far,2.79,26.0,service_box,ad,near,-0.5,-1.0,2.462388,inside out,Out,False,14:40:57,631.200012,1,Out,2.79,26.0,0.5,-1.0,Out,2.79,26.0,-0.5,-1.0,
14,Player,1,serve,Serve,Flat,132.0,10,0.0,0.0,service_box,deuce,near,0.5,5.98,no_mans_land,deuce,far,-1.36,24.34,2.549492,down the T,In,False,14:41:15,648.780029,1,Out,-0.5,5.98,-1.36,24.34,In,0.5,5.98,-1.36,24.34,
15,Opponent,0,return,Backhand,Flat,58.0,10,0.0,0.0,no_mans_land,deuce,far,-0.479286,21.38002,no_mans_land,deuce,near,1.402629,0.15931,0.950208,inside out,In,False,14:41:15,649.440002,1,,,,,,,,,,,
16,Player,1,serve,Serve,Flat,127.0,12,0.0,0.0,service_box,deuce,near,1.294211,6.098107,service_box,deuce,far,0.754952,23.620859,1.456736,down the T,In,False,14:41:23,657.380005,1,,,,,,,,,,,
17,Opponent,2,return,Backhand,Flat,94.0,12,0.0,0.0,no_mans_land,ad,far,0.316039,19.936829,no_mans_land,deuce,near,2.019885,-0.155773,1.023371,inside in,In,False,14:41:24,658.179993,1,,,,,,,,,,,
18,Player,3,serve_plus_one,Forehand,Topspin,95.0,12,0.0,0.0,service_box,ad,near,-2.530145,7.334408,no_mans_land,ad,far,0.521516,23.746855,0.816129,inside out,In,False,14:41:25,659.380005,1,,,,,,,,,,,
19,Opponent,4,return_plus_one,Backhand,Flat,61.0,12,0.0,0.0,no_mans_land,ad,far,1.41,25.0,no_mans_land,ad,near,-3.32,0.78,0.252792,cross court,Out,False,14:41:26,660.5,1,In,1.412796,21.605436,-3.324486,0.78372,Out,1.41,25.0,-3.32,0.78,
20,Player,0,in_play,Forehand,Topspin,85.0,12,0.0,0.0,no_mans_land,ad,near,-0.159641,1.643224,out,ad,far,1.774727,25.401423,1.046505,inside out,In,False,14:41:28,662.179993,1,,,,,,,,,,,
