,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Video Time_2,Result2,comment,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2
0,Player,1,serve,Serve,Flat,122,1,0,0,service_box,deuce,far,-0.007303,18.000872,no_mans_land,deuce,near,0.836805,0.725998,2.508755,down the T,In,False,14:28:45,5875.44,1,11.44,,,,,,,,,,,
1,Opponent,0,return,Backhand,Topspin,90,1,0,0,no_mans_land,ad,near,-0.954881,1.692163,no_mans_land,deuce,far,-1.406593,24.620859,1.131923,inside in,In,False,14:28:46,5876.34,1,12.34,,,,,,,,,,,
2,Player,1,serve,Serve,Flat,142,3,0,0,service_box,ad,far,0.515219,16.894138,no_mans_land,ad,near,-0.621972,-0.104656,2.530065,down the T,In,False,14:29:05,5895.440001,1,31.440001,,,,,,,,,,,
3,Opponent,2,return,Forehand,Topspin,86,3,0,0,no_mans_land,ad,near,-1.116768,4.631214,out,ad,far,1.090602,25.525074,1.334288,inside out,In,False,14:29:06,5896.18,1,32.18,,,,,,,,,,,
4,Player,3,serve_plus_one,Backhand,Topspin,99,3,0,0,no_mans_land,ad,far,2.313154,20.155392,no_mans_land,ad,near,-1.612507,0.701718,0.721431,cross court,In,False,14:29:07,5897.459999,1,33.459999,,,,,,,,,,,
5,Opponent,4,return_plus_one,Backhand,Flat,85,3,0,0,no_mans_land,ad,near,-1.169801,3.42601,no_mans_land,ad,far,2.946949,24.236937,1.369222,cross court,In,False,14:29:08,5898.720001,1,34.720001,,,,,,,,,,,
6,Player,5,in_play,Backhand,Topspin,90,3,0,0,service_box,ad,far,1.61324,17.709486,no_mans_land,ad,near,-2.063703,0.135378,0.772872,cross court,In,False,14:29:09,5899.939999,1,35.939999,,,,,,,,,,,
7,Opponent,6,in_play,Backhand,Topspin,65,3,0,0,service_box,ad,near,-0.859949,6.842732,no_mans_land,ad,far,3.033189,24.720953,1.03842,cross court,In,False,14:29:11,5901.380001,1,37.380001,,,,,,,,,,,
8,Player,7,in_play,Forehand,Topspin,95,3,0,0,no_mans_land,deuce,far,-2.919518,20.884731,out,ad,near,-1.912889,-0.636107,0.654218,inside in,In,False,14:29:12,5903.119999,1,39.119999,,,,,,,,,,,
9,Opponent,8,in_play,Forehand,Slice,64,3,0,0,no_mans_land,ad,near,-2.86106,1.704392,out,deuce,far,-2.941643,25.579607,1.07687,down the line,In,False,14:29:14,5904.259998,1,40.259998,,,,,,,,,,,
