,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,ResultOld,Bounce (x)Old,Bounce (y)Old,Hit (x)Old,Hit (y)Old,Result2,Bounce (x)2,Bounce (y)2,Hit (x)2,Hit (y)2,comment
0,Player,1,serve,Serve,Flat,135,1,0,0,service_box,deuce,far,-1.750266,15.840656,no_mans_land,deuce,near,0.119138,0.495653,2.312791,down the T,In,False,10:22:00,382.660004,0,,,,,,,,,,,
1,Opponent,2,return,Backhand,Flat,73,1,0,0,no_mans_land,ad,near,-0.217303,5.05962,no_mans_land,deuce,far,-2.130638,23.82659,1.187797,inside in,In,False,10:22:01,383.519989,0,,,,,,,,,,,
2,Player,3,serve_plus_one,Forehand,Flat,58,1,0,0,no_mans_land,ad,far,0.949444,18.900663,no_mans_land,ad,near,-0.31167,3.641528,0.478349,cross court,In,False,10:22:02,384.540009,0,,,,,,,,,,,
3,Opponent,4,return_plus_one,Backhand,Topspin,68,1,0,0,service_box,deuce,near,1.31102,6.119807,no_mans_land,ad,far,0.481137,24.687794,1.497576,down the line,In,False,10:22:04,386.279999,0,,,,,,,,,,,
4,Player,5,in_play,Backhand,Slice,52,1,0,0,service_box,ad,far,0.925911,15.572096,no_mans_land,deuce,near,1.800499,1.141468,1.019068,down the line,In,False,10:22:05,387.380005,0,,,,,,,,,,,
5,Opponent,6,in_play,BH Volley,Flat,39,1,0,0,no_mans_land,ad,near,-1.920495,5.008938,service_box,ad,far,0.925911,16.780884,1.545124,cross court,In,False,10:22:06,388.480011,0,,,,,,,,,,,
6,Player,1,first_serve,Serve,Slice,144,2,0,0,service_box,deuce,near,1.230293,11.88,no_mans_land,ad,near,-0.955621,0.471494,2.509493,down the T,Net,False,10:22:30,412.480011,-1,,,,,,,,,,,
7,Player,1,second_serve,Serve,Flat,110,3,0,0,service_box,ad,far,1.97471,15.511744,no_mans_land,ad,near,-0.243542,1.310051,2.319292,down the T,In,False,10:22:39,421.200012,0,,,,,,,,,,,
8,Opponent,2,return,Backhand,Flat,100,3,0,0,no_mans_land,deuce,near,0.374723,2.829336,out,ad,far,4.025504,25.133038,1.254836,down the line,In,False,10:22:40,422.26001,0,,,,,,,,,,,
9,Player,3,serve_plus_one,Forehand,Topspin,101,3,0,0,service_box,deuce,near,1.743606,11.88,no_mans_land,ad,near,-0.0319,-0.075684,0.881995,down the line,Net,False,10:22:41,423.339996,0,,,,,,,,,,,
10,Opponent,0,none,Forehand,Topspin,82,4,0,0,no_mans_land,deuce,near,0.966828,2.366911,no_mans_land,deuce,far,-3.653213,24.005991,0.922314,cross court,In,False,10:23:06,448.179993,0,,,,,,,,,,,
11,Player,1,first_serve,Serve,Slice,137,5,0,0,service_box,deuce,far,-3.506797,14.977579,no_mans_land,deuce,near,0.509815,0.649693,2.222633,out wide,In,False,10:23:13,455.839996,1,,,,,,,,,,,
12,Opponent,2,return,Forehand,Topspin,72,5,0,0,no_mans_land,deuce,near,0.311744,2.476191,no_mans_land,deuce_alley,far,-5.068823,24.898783,1.089586,down the line,In,False,10:23:14,456.980011,1,,,,,,,,,,,
13,Player,3,serve_plus_one,Forehand,Topspin,80,5,0,0,service_box,ad,far,2.725916,17.682129,no_mans_land,deuce,near,0.674677,-0.207942,1.028443,inside in,In,False,10:23:16,458.440002,1,,,,,,,,,,,
14,Opponent,0,none,Backhand,Flat,88,6,0,0,out,deuce,far,-0.438697,11.88,no_mans_land,ad,far,0.226398,20.980289,1.673465,down the line,Net,False,10:23:27,469.100006,1,,,,,,,,,,,
15,Player,1,first_serve,Serve,Flat,110,7,0,0,service_box,deuce,near,2.408549,11.88,no_mans_land,ad,near,-0.123253,0.909686,2.237629,out wide,Net,False,10:23:37,479.600006,-1,,,,,,,,,,,
16,Player,1,second_serve,Serve,Flat,132,8,0,0,service_box,ad,far,2.643413,15.496988,out,ad,near,-0.020084,-0.861828,1.327189,out wide,In,False,10:23:52,494.220001,1,,,,,,,,,,,
17,Opponent,2,return,Backhand,Topspin,73,8,0,0,no_mans_land,ad_alley,near,-5.223372,1.499904,no_mans_land,ad_alley,far,4.434618,24.778276,1.161957,cross court,Out,False,10:23:53,495.279999,1,,,,,,,,,,,
18,Player,1,first_serve,Serve,Flat,128,9,0,0,service_box,deuce,far,-3.512428,17.621502,no_mans_land,deuce,near,0.238759,1.310025,2.396502,out wide,In,False,10:24:17,519.900024,1,,,,,,,,,,,
19,Opponent,2,return,Forehand,Flat,70,9,0,0,no_mans_land,ad,near,-2.417435,3.598347,out,deuce_out,far,-5.647874,25.600554,0.93398,down the line,In,False,10:24:18,520.679993,1,,,,,,,,,,,
20,Player,3,serve_plus_one,Forehand,Topspin,74,9,0,0,no_mans_land,ad,far,2.120455,20.611053,no_mans_land,ad,near,-2.36967,0.809889,0.741465,cross court,In,False,10:24:20,522.340027,1,,,,,,,,,,,
21,Opponent,4,return_plus_one,Backhand,Flat,57,9,0,0,service_box,deuce,near,1.850906,8.123842,out,ad,far,3.076478,25.277388,1.007861,down the line,In,False,10:24:21,523.719971,1,,,,,,,,,,,
22,Player,5,in_play,Forehand,Topspin,80,9,0,0,no_mans_land,deuce,far,-3.18872,18.900663,no_mans_land,deuce,near,1.132691,1.559809,0.734982,inside out,In,False,10:24:23,525.340027,1,,,,,,,,,,,
23,Opponent,6,in_play,Forehand,Flat,71,9,0,0,service_box,deuce,far,-3.823824,11.88,out,deuce_alley,far,-4.479943,25.583235,1.07192,down the line,Net,False,10:24:24,526.719971,1,,,,,,,,,,,
24,Player,1,first_serve,Serve,Flat,134,10,0,0,service_box,ad,far,2.118958,17.460445,no_mans_land,ad,near,-0.792275,0.209337,2.396405,down the T,In,False,10:24:46,549,1,,,,,,,,,,,
25,Opponent,2,return,Backhand,Flat,87,10,0,0,service_box,deuce,far,-0.48391,11.88,out,ad,far,3.60236,25.16958,1.114638,down the line,Net,False,10:24:48,550.059998,1,,,,,,,,,,,
26,Opponent,1,first_serve,Serve,Slice,128,11,0,0,service_box,deuce,far,-4.61,17.18,no_mans_land,deuce,near,0.57,0.24,2.571324,out wide,In,False,10:26:03,625.97998,0,In,-3.657102,17.178658,0.570448,0.242732,In,-4.61,17.18,0.57,0.24,
27,Opponent,1,first_serve,Serve,Kick,113,12,0,0,service_box,deuce,far,-2.78878,17.062366,no_mans_land,deuce,near,0.501101,0.741716,2.430847,out wide,In,False,10:26:13,635.840027,0,,,,,,,,,,,
28,Player,2,return,Backhand,Topspin,72,12,0,0,service_box,ad,near,-1.801199,6.803902,no_mans_land,deuce,far,-3.816203,22.737524,1.33335,down the line,In,False,10:26:14,636.880005,0,,,,,,,,,,,
29,Opponent,3,serve_plus_one,Forehand,Flat,98,12,0,0,no_mans_land,ad,far,3.538277,20.109545,no_mans_land,ad,near,-0.581662,2.044057,0.685347,inside out,In,False,10:26:16,638.280029,0,,,,,,,,,,,
30,Opponent,1,first_serve,Serve,Flat,110,13,0,0,service_box,deuce,near,2.350209,11.88,no_mans_land,ad,near,0.43917,0.257688,1.890636,out wide,Net,False,10:26:39,661.23999,-2,,,,,,,,,,,
31,Opponent,1,second_serve,Serve,Kick,100,14,0,0,service_box,ad,far,1.164466,13.936901,no_mans_land,ad,near,-0.488307,0.554885,2.333936,down the T,In,False,10:26:49,671.080017,0,,,,,,,,,,,
32,Player,2,return,Backhand,Topspin,79,14,0,0,service_box,deuce,near,1.476218,5.67239,no_mans_land,ad,far,1.784242,24.96187,1.373117,inside in,In,False,10:26:50,672.080017,0,,,,,,,,,,,
33,Opponent,3,serve_plus_one,Forehand,Topspin,80,14,0,0,no_mans_land,deuce,far,-3.63867,20.03653,no_mans_land,deuce,near,1.272785,1.101977,0.868641,cross court,In,False,10:26:51,673.400024,0,,,,,,,,,,,
34,Player,4,return_plus_one,Backhand,Topspin,86,14,0,0,no_mans_land,ad_alley,near,-4.267715,2.90064,out,deuce_alley,far,-4.448243,26.137583,0.795931,down the line,Out,False,10:26:52,674.679993,0,,,,,,,,,,,
35,Opponent,1,first_serve,Serve,Kick,111,15,0,0,service_box,ad,far,0.402263,18.277966,no_mans_land,ad,near,0.489055,0.212715,2.500768,down the T,In,False,10:27:18,700.280029,0,,,,,,,,,,,
36,Player,2,return,Forehand,Topspin,55,15,0,0,service_box,ad,near,-0.463057,5.769485,no_mans_land,deuce,far,-0.267243,22.015764,1.222088,inside in,In,False,10:27:19,701.099976,0,,,,,,,,,,,
37,Opponent,3,serve_plus_one,Forehand,Topspin,77,15,0,0,no_mans_land,deuce,far,-2.45612,19.168736,no_mans_land,ad,near,-0.186436,1.235788,0.879802,inside in,In,False,10:27:20,702.5,0,,,,,,,,,,,
38,Player,4,return_plus_one,Backhand,Topspin,66,15,0,0,no_mans_land,deuce,near,1.933349,3.990949,out,deuce,far,-2.447981,24.988085,1.41518,cross court,In,False,10:27:21,703.880005,0,,,,,,,,,,,
39,Opponent,5,in_play,Forehand,Topspin,84,15,0,0,no_mans_land,deuce,far,-1.884099,19.330158,no_mans_land,deuce,near,2.524577,0.416943,0.738029,cross court,In,False,10:27:23,705.5,0,,,,,,,,,,,
40,Player,6,in_play,Backhand,Slice,57,15,0,0,service_box,ad,near,-2.959097,6.198023,out,deuce,far,-3.382738,25.745396,0.957743,down the line,In,False,10:27:24,706.679993,0,,,,,,,,,,,
41,Opponent,7,in_play,Backhand,Topspin,77,15,0,0,no_mans_land,ad,far,1.019947,19.622562,no_mans_land,ad,near,-2.737401,0.516414,0.773146,cross court,In,False,10:27:26,708.400024,0,,,,,,,,,,,
42,Player,8,in_play,Forehand,Flat,110,15,0,0,service_box,deuce,far,-0.797054,11.88,out,ad,far,0.262236,25.790426,0.931086,down the line,Net,False,10:27:27,709.76001,0,,,,,,,,,,,
43,Opponent,1,first_serve,Serve,Slice,115,16,0,0,service_box,ad,far,3.46,18.98,no_mans_land,ad,near,0.06,0.76,2.391076,out wide,Out,False,10:27:49,731.200012,-2,In,3.46,18.98,0.06,0.76,Out,3.46,18.98,0.06,0.76,
44,Opponent,1,first_serve,Serve,Kick,87,17,0,0,service_box,ad,far,1.968796,15.249877,no_mans_land,ad,near,-0.421559,-0.139609,2.522205,down the T,In,False,10:28:00,742.440002,1,,,,,,,,,,,
45,Player,2,return,Forehand,Flat,72,17,0,0,no_mans_land,deuce,near,0.766706,3.967854,out,ad,far,3.256106,25.756704,1.262563,down the line,In,False,10:28:01,743.659973,1,,,,,,,,,,,
46,Opponent,3,serve_plus_one,Forehand,Topspin,80,17,0,0,service_box,deuce,far,-2.756361,17.2619,no_mans_land,deuce,near,0.47908,0.844293,1.023642,cross court,In,False,10:28:02,745,1,,,,,,,,,,,
47,Player,4,return_plus_one,Backhand,Topspin,71,17,0,0,service_box,deuce,near,1.432575,5.580546,out,deuce_alley,far,-4.457288,25.693748,0.82785,down the line,In,False,10:28:04,746.47998,1,,,,,,,,,,,
48,Opponent,5,in_play,Forehand,Flat,67,17,0,0,no_mans_land,deuce,far,-1.669273,22.059597,no_mans_land,deuce,near,2.99604,0.665519,0.435596,cross court,In,False,10:28:06,748.179993,1,,,,,,,,,,,
49,Player,6,in_play,Forehand,Flat,93,17,0,0,no_mans_land,deuce,near,3.281049,3.170732,out,deuce,far,-2.311764,25.289095,1.209352,inside out,In,False,10:28:07,749.780029,1,,,,,,,,,,,
50,Opponent,7,in_play,Forehand,Topspin,85,17,0,0,out,ad,far,1.087986,24.470619,no_mans_land,deuce,near,3.840366,-0.116535,0.901895,down the line,Out,False,10:28:09,751.080017,1,,,,,,,,,,,
51,Opponent,1,first_serve,Serve,Slice,112,18,0,0,service_box,deuce,far,-4.61,15.37,no_mans_land,deuce,near,0.44,0.63,2.473018,out wide,Out,False,10:28:35,777.780029,-2,In,-3.097371,15.37248,0.436332,0.634149,Out,-4.61,15.37,0.44,0.63,
52,Opponent,1,first_serve,Serve,Slice,97,19,0,0,no_mans_land,deuce,far,-1.96,18.33,no_mans_land,deuce,near,0.4,0.12,2.51086,down the T,In,False,10:28:46,788.700012,0,Out,-1.96,18.33,0.4,0.12,In,-1.96,18.33,0.4,0.12,
53,Player,2,return,Forehand,Flat,92,19,0,0,service_box,ad,near,-2.67149,6.653894,out,deuce,far,-2.939195,25.286345,1.593487,inside in,In,False,10:28:47,789.76001,0,,,,,,,,,,,
54,Opponent,3,serve_plus_one,Backhand,Flat,64,19,0,0,no_mans_land,ad,far,0.796749,18.671715,no_mans_land,ad,near,-2.56059,0.686012,0.595434,cross court,In,False,10:28:48,790.640015,0,,,,,,,,,,,
55,Player,4,return_plus_one,Forehand,Topspin,75,19,0,0,service_box,ad_alley,far,4.987345,11.88,out,ad,far,1.316581,25.446276,0.723247,down the line,Net,False,10:28:50,792.179993,0,,,,,,,,,,,
56,Player,1,first_serve,Serve,Flat,121,20,0,0,no_mans_land,ad,near,0.5,5.98,no_mans_land,deuce,far,-0.88,23.65,3.004804,down the T,In,False,10:29:23,825.380005,1,Out,-0.026802,3.951908,-0.881694,23.65414,In,0.5,5.98,-0.88,23.65,
57,Player,1,first_serve,Serve,Flat,136,21,0,0,service_box,ad,near,-0.48189,5.714055,no_mans_land,ad,far,0.722314,23.685259,2.303802,down the T,In,False,10:29:37,839.200012,1,,,,,,,,,,,
58,Opponent,2,return,Forehand,Flat,70,21,0,0,service_box,ad,near,-0.558659,11.88,out,ad,near,-1.63366,-0.539497,0.856954,inside out,Net,False,10:29:38,840.099976,1,,,,,,,,,,,
59,Player,1,first_serve,Serve,Flat,150,22,0,0,no_mans_land,deuce,near,0.5,5.98,no_mans_land,deuce,far,-0.48,23.64,2.754253,down the T,In,False,10:29:55,857.26001,1,Out,0.862219,4.756909,-0.476748,23.636063,In,0.5,5.98,-0.48,23.64,
60,Opponent,2,return,Backhand,Slice,67,22,0,0,service_box,deuce,near,1.523122,11.88,no_mans_land,deuce,near,1.092258,-0.197271,0.79629,inside out,Net,False,10:29:55,858,1,,,,,,,,,,,
61,Player,1,first_serve,Serve,Flat,144,23,0,0,service_box,ad,near,-3.877518,5.647781,no_mans_land,ad,far,0.231446,24.286489,2.403529,out wide,In,False,10:30:09,871.099976,1,,,,,,,,,,,
62,Opponent,2,return,Backhand,Flat,63,23,0,0,service_box,ad,far,1.501459,17.842646,no_mans_land,ad_alley,near,-5.02068,-0.437785,0.92148,down the line,In,False,10:30:09,871.880005,1,,,,,,,,,,,
63,Player,3,serve_plus_one,Forehand,Topspin,49,23,0,0,no_mans_land,deuce,near,2.892898,4.290751,no_mans_land,ad,far,3.010007,23.860016,1.345134,down the line,In,False,10:30:11,873.679993,1,,,,,,,,,,,
64,Opponent,4,return_plus_one,Forehand,Flat,77,23,0,0,out,ad_alley,far,4.901815,24.718224,no_mans_land,deuce,near,3.073449,-0.097228,0.55681,down the line,Out,False,10:30:12,874.539978,1,,,,,,,,,,,
65,Opponent,1,first_serve,Serve,Flat,125,25,0,0,service_box,deuce,far,-0.016694,11.88,no_mans_land,deuce,far,-1.475071,24.168594,2.468933,down the T,Net,False,10:32:11,993.099976,-2,,,,,,,,,,,
66,Opponent,1,second_serve,Serve,Slice,131,26,0,0,service_box,deuce,near,3.17134,6.622313,no_mans_land,deuce,far,-1.417996,24.148174,2.267452,out wide,In,False,10:32:21,1003.280029,0,,,,,,,,,,,
67,Player,2,return,Backhand,Flat,62,26,0,0,no_mans_land,deuce,far,-1.360549,19.547667,no_mans_land,deuce_alley,near,4.603393,0.191831,1.268213,down the line,In,False,10:32:22,1004.23999,0,,,,,,,,,,,
68,Opponent,3,serve_plus_one,Forehand,Flat,97,26,0,0,no_mans_land,ad,near,-2.86177,2.765604,out,deuce,far,-2.085332,25.053232,1.501897,down the line,In,False,10:32:23,1005.97998,0,,,,,,,,,,,
69,Player,4,return_plus_one,Forehand,Topspin,100,26,0,0,service_box,ad,near,-0.329374,11.88,out,ad,near,-2.404646,-1.4943,0.778105,cross court,Net,False,10:32:24,1006.97998,0,,,,,,,,,,,
70,Opponent,1,first_serve,Serve,Flat,160,27,0,0,service_box,ad,near,-3.436913,6.519604,no_mans_land,ad,far,0.443854,24.620729,2.429721,out wide,In,False,10:32:47,1029.26001,0,,,,,,,,,,,
71,Player,2,return,Forehand,Flat,73,27,0,0,out,deuce,far,-0.351726,24.052197,no_mans_land,ad_alley,near,-4.912635,0.076728,1.044667,down the line,Out,False,10:32:48,1030.079956,0,,,,,,,,,,,
72,Opponent,1,first_serve,Serve,Flat,125,28,0,0,no_mans_land,deuce,near,1.136029,3.544641,no_mans_land,deuce,far,-1.452079,24.098949,2.720047,down the T,Out,False,10:33:09,1051.699951,-2,,,,,,,,,,,
73,Player,0,return,Forehand,Flat,86,28,0,0,no_mans_land,deuce,near,0.56707,11.88,no_mans_land,deuce,near,1.024595,0.050407,0.670394,inside out,Net,False,10:33:10,1052.300049,-2,,,,,,,,,,,
74,Player,0,none,Backhand,Flat,70,29,0,0,no_mans_land,deuce,far,-0.602358,21.177349,no_mans_land,deuce,near,3.855395,0.560818,1.323595,cross court,In,False,10:33:21,1064,0,,,,,,,,,,,
75,Opponent,1,none,Forehand,Topspin,94,29,0,0,service_box,deuce,near,1.021068,6.282881,out,deuce,far,-1.300502,26.65542,1.009889,cross court,In,False,10:33:23,1065.579956,0,,,,,,,,,,,
76,Player,2,none,Backhand,Flat,89,29,0,0,no_mans_land,deuce,far,-0.772571,20.242735,no_mans_land,deuce,near,1.74994,0.035899,0.549771,cross court,In,False,10:33:24,1066.920044,0,,,,,,,,,,,
77,Opponent,3,none,Forehand,Topspin,73,29,0,0,no_mans_land,deuce,near,1.231402,4.07667,out,deuce,far,-1.561298,26.463263,0.710061,cross court,In,False,10:33:26,1068.280029,0,,,,,,,,,,,
78,Player,4,none,Backhand,Flat,98,29,0,0,no_mans_land,deuce,far,-2.987388,18.733067,no_mans_land,deuce,near,2.399427,-0.518964,0.603995,cross court,In,False,10:33:27,1069.5,0,,,,,,,,,,,
79,Opponent,5,none,Forehand,Topspin,65,29,0,0,no_mans_land,deuce,near,2.880775,4.84868,no_mans_land,deuce_alley,far,-4.624096,24.876131,0.886771,down the line,In,False,10:33:28,1070.579956,0,,,,,,,,,,,
80,Player,6,none,Backhand,Slice,50,29,0,0,no_mans_land,ad,far,2.161701,19.159258,no_mans_land,deuce_alley,near,4.555665,0.772177,0.813061,down the line,In,False,10:33:29,1071.680054,0,,,,,,,,,,,
81,Opponent,7,none,Forehand,Topspin,80,29,0,0,no_mans_land,deuce,near,2.200946,2.826197,no_mans_land,ad,far,2.371859,22.417408,1.314045,inside in,In,False,10:33:32,1074.280029,0,,,,,,,,,,,
82,Player,0,first_serve,Serve,Flat,118,30,0,0,service_box,ad,near,-0.013746,11.88,out,deuce,near,0.919485,-1.476856,2.531432,down the T,Net,False,10:33:58,1100.579956,-1,,,,,,,,,,,cancelled
83,Player,0,none,Backhand,Slice,31,31,0,0,service_box,deuce,far,-1.321368,14.651345,service_box,ad,near,-0.296741,7.749664,2.335437,inside in,In,False,10:33:59,1101.880005,1,,,,,,,,,,,
84,Opponent,1,first_serve,Serve,Flat,147,32,0,0,no_mans_land,ad,near,-3.584685,4.180427,no_mans_land,ad,far,-0.048014,23.309813,2.450958,out wide,Out,False,10:34:20,1122.5,1,,,,,,,,,,,
85,Player,2,return,Forehand,Slice,64,32,0,0,no_mans_land,ad,far,0.884086,19.119698,no_mans_land,ad_alley,near,-4.225058,0.491616,1.107271,down the line,In,False,10:34:21,1123.280029,1,,,,,,,,,,,
86,Opponent,3,serve_plus_one,Forehand,Flat,81,32,0,0,out,ad,near,-3.170719,-0.77435,no_mans_land,ad,far,1.512308,24.527918,0.872114,inside out,Out,False,10:34:22,1124.900024,1,,,,,,,,,,,
87,Player,0,return_plus_one,Forehand,Flat,88,32,0,0,no_mans_land,ad,far,0.394945,23.62425,out,ad,near,-3.471091,-0.882923,0.524375,cross court,In,False,10:34:23,1125.819946,1,,,,,,,,,,,
88,Opponent,1,first_serve,Serve,Slice,118,33,0,0,service_box,deuce_alley,near,5.457408,6.02763,no_mans_land,deuce,far,-0.741127,23.822355,2.591473,out wide,Out,False,10:34:44,1146.300049,-2,,,,,,,,,,,
89,Opponent,1,second_serve,Serve,Flat,136,34,0,0,service_box,deuce,near,1.540259,6.080088,no_mans_land,deuce,far,-1.27252,24.570589,2.894193,down the T,In,False,10:34:55,1157.47998,1,,,,,,,,,,,
90,Player,2,return,Forehand,Flat,69,34,0,0,no_mans_land,deuce,far,-1.326521,20.726509,no_mans_land,deuce,near,2.691665,1.575154,1.091934,inside out,In,False,10:34:56,1158.300049,1,,,,,,,,,,,
91,Opponent,3,serve_plus_one,Forehand,Flat,93,34,0,0,no_mans_land,deuce_alley,near,4.51285,2.556007,out,deuce,far,-1.937086,26.058588,0.868368,down the line,Out,False,10:34:57,1159.819946,1,,,,,,,,,,,
92,Player,0,none,Forehand,Slice,66,35,0,0,no_mans_land,deuce,far,-0.630276,19.59071,no_mans_land,ad_alley,near,-4.295693,0.10251,0.694689,down the line,In,False,10:35:22,1184.97998,0,,,,,,,,,,,
93,Opponent,1,none,Forehand,Topspin,99,35,0,0,no_mans_land,deuce,near,2.759824,3.466436,no_mans_land,deuce,far,-0.263463,24.936411,0.890721,cross court,In,False,10:35:24,1186.579956,0,,,,,,,,,,,
94,Player,2,none,Backhand,Flat,88,35,0,0,no_mans_land,ad,far,0.161355,18.91921,no_mans_land,deuce,near,3.583751,-0.146491,0.840701,down the line,In,False,10:35:25,1187.859985,0,,,,,,,,,,,
95,Opponent,3,none,Backhand,Flat,105,35,0,0,no_mans_land,ad,near,-1.695155,4.082501,no_mans_land,deuce,far,-0.43348,24.006857,0.896171,inside in,In,False,10:35:27,1189.199951,0,,,,,,,,,,,
96,Player,4,none,Forehand,Topspin,80,35,0,0,service_box,deuce,near,0.709932,11.88,no_mans_land,ad,near,-2.127932,-0.276058,0.660107,down the line,Net,False,10:35:28,1190.199951,0,,,,,,,,,,,
97,Player,1,first_serve,Serve,Slice,152,36,0,0,service_box,deuce,far,-3.840314,18.07501,no_mans_land,deuce,near,0.684361,0.405067,2.471011,out wide,In,False,10:36:02,1224.73999,0,,,,,,,,,,,
98,Opponent,2,return,Forehand,Topspin,81,36,0,0,no_mans_land,ad,near,-1.268396,3.876007,out,deuce_alley,far,-5.175864,25.383959,0.968533,down the line,In,False,10:36:03,1225.47998,0,,,,,,,,,,,
99,Player,3,serve_plus_one,Forehand,Topspin,92,36,0,0,out,ad,far,2.878874,23.783424,no_mans_land,ad,near,-0.546306,0.870783,0.884725,cross court,Out,False,10:36:04,1226.839966,0,,,,,,,,,,,
100,Player,0,first_serve,Serve,Slice,159,37,0,0,service_box,deuce,far,-0.292349,18.065271,no_mans_land,deuce,near,0.845151,0.764221,2.115756,down the T,In,False,10:36:14,1236.880005,1,,,,,,,,,,,cancelled
