,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Result2,ResultOld,Bounce (x)Old,Bounce (y)Old,Bounce (x)2,Bounce (y)2,comment,Hit (x)Old,Hit (y)Old,Hit (x)2,Hit (y)2
0,Player,1,serve,Serve,Flat,157,1,0,0,service_box,ad,far,0.417994,4.0,no_mans_land,deuce,far,-0.245386,23.647026,2.251417,down the T,Out,False,15:47:30,524.380005,-1,Out,Net,0.487505,11.94599,0.417994,4.0,,,,,
1,Player,1,serve,Serve,Slice,100,2,0,0,service_box,deuce,near,0.417994,4.0,no_mans_land,deuce,far,-0.781264,23.494743,2.692969,down the T,Out,False,15:47:40,534.419983,-1,Out,Out,0.417994,4.0,0.417994,4.0,,,,,
2,Opponent,0,return,Backhand,Topspin,77,2,0,0,out,ad,far,0.880847,24.370718,no_mans_land,deuce,near,0.592225,0.562807,0.71739,inside in,Out,False,15:47:41,535.200012,-1,,,,,,,,,,,
3,Player,1,serve,Serve,Slice,158,3,0,0,service_box,ad,near,-3.42922,5.0,no_mans_land,ad,far,1.077553,24.505178,2.580016,out wide,Out,False,15:47:59,553.219971,-1,Out,Out,-3.42922,5.0,-3.42922,5.0,,,,,
4,Opponent,0,return,Backhand,Topspin,75,3,0,0,no_mans_land,deuce,far,-0.922928,18.415268,out,ad_alley,near,-4.572163,-1.331986,0.746367,down the line,In,False,15:47:59,553.919983,-1,,,,,,,,,,,
5,Player,1,serve,Serve,Slice,134,4,0,0,service_box,ad,near,-2.061985,6.983343,out,ad,far,0.964837,25.195616,2.526979,down the T,In,False,15:48:08,562.159973,1,,,,,,,,,,,
6,Opponent,2,return,Backhand,Topspin,80,4,0,0,no_mans_land,ad,far,2.76544,19.881002,no_mans_land,ad,near,-3.606097,0.39712,0.68369,cross court,In,False,15:48:09,563.059998,1,,,,,,,,,,,
7,Player,3,serve_plus_one,Backhand,Topspin,70,4,0,0,service_box,ad,near,-2.580637,6.198023,no_mans_land,ad,far,4.005162,23.662518,1.249486,cross court,In,False,15:48:10,564.47998,1,,,,,,,,,,,
8,Opponent,4,return_plus_one,Backhand,Flat,83,4,0,0,no_mans_land,deuce,far,-0.468077,19.134737,no_mans_land,ad,near,-3.328717,-0.474203,0.770167,down the line,In,False,15:48:11,565.859985,1,,,,,,,,,,,
9,Player,5,in_play,Backhand,Flat,108,4,0,0,service_box,ad,near,-0.787464,6.859238,no_mans_land,ad,far,3.875817,24.733883,1.287223,cross court,In,False,15:48:13,567.099976,1,,,,,,,,,,,
10,Opponent,6,in_play,Forehand,Topspin,80,4,0,0,no_mans_land,ad,far,1.5,18.37,no_mans_land,ad,near,-2.09,0.3,0.659008,inside out,In,False,15:48:14,568.280029,1,In,Out,4.881035,18.371021,1.5,18.37,,-2.085884,0.296642,-2.09,0.3
11,Player,7,in_play,Backhand,Topspin,89,4,0,0,no_mans_land,ad,near,-2.292692,3.988323,no_mans_land,ad,far,2.331247,24.889053,1.139585,cross court,In,False,15:48:15,569.52002,1,,,,,,,,,,,
12,Opponent,8,in_play,Backhand,Topspin,90,4,0,0,no_mans_land,ad,far,3.173214,18.485542,out,ad,near,-2.732862,-0.809116,0.540533,cross court,In,False,15:48:16,570.619995,1,,,,,,,,,,,
13,Player,9,in_play,Backhand,Flat,77,4,0,0,no_mans_land,ad,near,-2.228249,2.697227,no_mans_land,ad,far,3.684841,22.744188,1.216764,cross court,In,False,15:48:17,571.960022,1,,,,,,,,,,,
14,Opponent,10,in_play,Backhand,Topspin,84,4,0,0,no_mans_land,ad,far,2.723955,18.997047,out,ad,near,-3.247786,-0.758664,0.942712,cross court,In,False,15:48:19,573.219971,1,,,,,,,,,,,
15,Player,11,in_play,Backhand,Topspin,97,4,0,0,no_mans_land,deuce,near,-0.8,0.22,no_mans_land,ad,far,3.89,23.98,0.914709,down the line,In,False,15:48:20,574.47998,1,In,In,3.894303,0.222108,-0.8,0.22,,3.894303,23.981546,3.89,23.98
16,Opponent,12,in_play,Forehand,Topspin,86,4,0,0,service_box,ad,near,-2.342565,11.426582,no_mans_land,ad,near,-0.92386,-0.131472,0.677745,inside out,Net,False,15:48:21,575.659973,1,,,,,,,,,,,
17,Player,1,serve,Serve,Flat,190,5,0,0,service_box,deuce,near,2.843362,5.871282,service_box,deuce,far,0.706645,23.537323,2.168408,out wide,In,False,15:48:46,600.23999,1,,,,,,,,,,,
18,Opponent,2,return,Forehand,Topspin,73,5,0,0,no_mans_land,deuce,far,-0.713079,19.97014,no_mans_land,deuce_alley,near,4.216721,1.211445,1.077675,down the line,In,False,15:48:46,600.97998,1,,,,,,,,,,,
19,Player,3,serve_plus_one,Forehand,Topspin,67,5,0,0,service_box,ad,near,-2.77447,5.734294,no_mans_land,deuce,far,-1.386879,24.421995,0.887004,down the line,In,False,15:48:48,602.179993,1,,,,,,,,,,,
20,Opponent,4,return_plus_one,Backhand,Slice,56,5,0,0,no_mans_land,ad,far,1.903228,22.481606,no_mans_land,ad,near,-3.596755,0.814441,0.347342,cross court,In,False,15:48:49,603.880005,1,,,,,,,,,,,
21,Player,5,in_play,Forehand,Topspin,83,5,0,0,no_mans_land,deuce,near,2.78,4.09,no_mans_land,ad,far,2.830704,24.368017,1.409378,inside in,In,False,15:48:51,606.02002,1,In,In,2.775483,4.093088,2.78,4.09,,,,,
