Score,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Min,Sec,Comment
0-0,Player,1,serve,Serve,Flat,188.105713,7,0,0,service_box,deuce,near,0.793677,5.517643,no_mans_land,deuce,far,-0.282083,23.130939,1.7785,down the T,In,false,12:05:50,391.23999,6,31,Out
,Opponent,2,return,Backhand,Topspin,78.88868,7,0,0,no_mans_land,deuce,far,-1.638797,21.179043,no_mans_land,deuce,near,0.666799,1.644624,0.70708,inside out,In,false,12:05:51,391.839996,6,32,no play as Serve was out
0-0,Player,1,serve,Serve,Flat,109.93026,8,0,0,service_box,deuce,near,2.761982,6.144928,no_mans_land,deuce,far,-0.88558,24.760395,2.905192,out wide,In,false,12:06:04,404.75,6,45,
,Opponent,2,return,Forehand,Topspin,78.01075,8,0,0,no_mans_land,deuce,far,-0.842593,18.444162,no_mans_land,deuce_alley,near,4.451332,-0.289398,0.770742,down the line,In,false,12:06:04,405.640015,6,46,
,Player,3,serve_plus_one,Forehand,Topspin,70.55294,8,0,0,service_box,ad,near,-2.612076,8.123842,no_mans_land,deuce,far,-1.244545,23.743654,0.752385,down the line,In,false,12:06:06,406.839996,6,47,
,Opponent,4,return_plus_one,Backhand,Flat,69.755302,8,0,0,no_mans_land,ad,far,0.421701,19.121325,no_mans_land,ad,near,-2.297503,1.3004,0.620556,cross court,In,false,12:06:07,408.109985,6,48,
,Player,5,in_play,Forehand,Topspin,113.892616,8,0,0,no_mans_land,ad,near,-2.74133,3.690679,out,ad,far,0.885488,25.330515,0.991807,inside out,In,false,12:06:08,409.600006,6,50,
,Opponent,6,in_play,Backhand,Flat,77.681419,8,0,0,no_mans_land,ad,far,0.539138,20.482655,no_mans_land,ad,near,-3.035261,-0.23972,0.642221,cross court,In,false,12:06:10,410.829987,6,51,
,Player,7,in_play,Forehand,Topspin,101.022491,8,0,0,service_box,deuce,near,0.907575,5.648626,out,ad,far,1.196018,25.067549,0.860733,inside in,In,false,12:06:11,412.23999,6,52,
,Opponent,8,in_play,Forehand,Topspin,84.410622,8,0,0,no_mans_land,deuce,far,-1.750014,20.65481,no_mans_land,deuce,near,0.662597,2.256002,0.965008,cross court,In,false,12:06:12,413.440002,6,53,
